segment,segment_day,V,curr_D,P,temp,H,Tmean,wave_D,VM,DM,VG,sea_temp
17,24,458.4348,58.1304,1008.3542,28.9,79.5455,56.3182,225.3182,25.5,252.7727,36.6818,29.7458
17,25,446.7391,65.6087,1006.0333,29.5208,72.2917,50.2083,235.5417,34.625,237.2917,43.0833,30.0625
17,26,431.2174,64.4783,1005.2958,29.6458,61.7083,50.75,216.2083,32.25,301.375,41.5,30.1625
17,27,539.6818,54.6364,1005.7478,29.7043,157.4783,61.2609,174,50.6957,162.5909,69,30.2
17,28,570,57.5,1009.9917,29.5792,221.9167,68.375,207.25,59.5833,181.125,75.5,30.0125
17,29,451.6364,68.0909,1010.7083,29.3625,116.4583,64.625,220.4583,27.9167,274.8636,40.6818,30.175
17,30,408.0833,80.1667,1008.3542,29.6583,83.25,55.9583,225.2083,34.25,226.5417,43.5417,30.5542
17,31,519.6957,85.3913,1008.9458,29.1667,50.9583,54.4583,222.8333,15.4583,197.6111,28.1111,30.4792
17,32,461.5909,79.0909,1009.9458,28.7375,33.5,46.6667,135.0833,28.7917,253.7727,41.1364,30.3708
17,33,529.9167,92.9167,1008.1792,28.9583,26.3333,46.2857,67.0476,27.9167,267.2609,37.3478,30.3083
17,34,517,101.6522,1005.7625,29.2,31.4286,43.7143,50.5714,35.4167,225.4167,46.9167,30.3792
17,35,570.0435,118.7391,1004.3292,29.15,191.7917,55.5833,30.875,110.0833,44.0417,143.8333,29.7542
17,36,683.5833,257.5833,1000.5583,27.8125,269.9583,59.7917,57.3333,127.625,238.2083,163.9583,28.6208
17,37,462.125,246.5,998.1042,28.1833,186.0417,53.5417,73.5417,100.5417,338.5833,127.4167,28.0542
17,38,396.375,151.5,999.9125,28.2708,108.2609,53.5217,130.6522,39.625,268.8182,54.6364,28.1875
17,39,439.375,84.0417,1003.3458,29.1292,112.6957,54.5217,185.1304,39.125,219.9167,49.5,28.7958
17,40,413,80.3333,1009.325,28.8917,98.5833,55.2917,184,31.875,114.5217,44.0435,29.4708
17,41,476.8333,93.2083,1013.0375,28.4917,87.6522,51.2174,129.8696,51.5833,32.7826,68.3913,29.4958
17,42,398.0417,92.5833,1012.4542,28.35,104.9565,54.3478,67.5217,63.4167,77.2083,79.9167,29.2875
17,43,455.9524,62.7619,1010.9696,28.013,121,53.3913,43.5652,72.3478,81.6087,91.6957,29.2609
17,44,426.2917,137.875,1009.6292,27.525,123.7727,50.8182,23.0909,88.75,21.2083,110.4583,29.1417
17,45,529.375,145.75,1006.7375,27.5083,134.5833,51.25,39.9167,97.625,95.8333,122.2083,29.0125
17,46,587.25,165.9167,1004.875,27.6125,129.0455,50.0909,96.2727,92,265.0833,116.0833,28.3565
17,47,437.0417,146.7083,1005.6417,27.4333,90.1739,55.2609,50.9565,47.0417,331.5217,61.6522,27.8583
17,48,381.7143,112.2381,1004.9208,28.0958,54.8333,56.375,80.2917,27.6667,291.1429,38.9524,28.4417
17,49,491.8261,99.0435,1004.6833,28.8042,43.7917,48.2917,175.875,18.75,218.4737,31,29.3042
17,50,402.3333,101,1005.0833,27.9708,28.625,45.6667,139.75,25.0417,199.2273,34.3636,28.6875
17,51,411.5833,77.5833,1005.6708,27.675,34.6818,44.4545,81.0455,38.75,246.0833,49.1667,29.1708
17,52,277.8333,80.4583,1005.6167,28.3458,62.5417,63.5833,206.2917,23.375,227.8261,33.7391,29.6667
17,53,252.2174,96.087,1006.3458,28.4042,60,51.913,207.4783,21.0833,220.1429,33.8571,29.4792
17,54,337.625,171.4583,1007.8708,27.8292,142.8571,50.8571,70.3333,87.625,72.9583,108.8333,29.3167
17,55,352.5833,158.375,1009.5792,27.3083,185.4783,56.7826,24.8696,93.625,36.7083,117.5417,28.9792
17,56,373.6667,125.0833,1009.9917,27.4625,117.7083,53.375,41.25,65.75,24.3333,82.0833,29.0292
17,57,425.9167,163.2083,1009.6875,27.5667,148.2917,53.25,27.125,90.375,19.7083,113.5833,29.1167
17,58,557.6667,263.3333,1009.2083,26.8292,191.6818,55.0909,80.3182,112.2083,24.6667,141.25,28.85
